question,answer_agent,answer_orig,tool_calls,cost,document
"I just found this course — is it too late to join, or can I still start now?","Yes — you can still start now. The course materials and videos are available, and you can join at any time.

One important note: if you want a certificate, you’ll need to submit the capstone/project while submissions are still being accepted. Homework is only allowed while the submission form is open, but you can still work through the course even if you’re starting late.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""too late to join start now enrollment can I still join late course\""}""}]",0.00122175,74eb249bbf
"If I sign up late, will I still be able to get a certificate somehow?","Yes — you can still join late, but to get a certificate you must submit your capstone project while the course is still accepting submissions.

A few key points:
- You **can** work through the course self-paced.
- The **certificate requires** finishing the capstone project and the required peer reviews.
- **Homework is not required** for the certificate.

So if you sign up late, the main thing is to make sure you submit your project before the live cohort submission window closes.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""late sign up certificate still able to get certificate course\""}""}]",0.00119325,74eb249bbf
Do I need to submit my project before submissions close in order to qualify for the certificate?,"Yes. To qualify for the certificate, you need to submit your capstone project while the course is still accepting submissions, and then complete the required peer reviews during the peer-review window.

A few key points:
- Homework is not required for the certificate.
- You cannot submit after the submission form closes.
- You must be part of a live cohort; self-paced participation alone won’t qualify.

If you want, I can also summarize the full certificate requirements in one checklist.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate project submission deadline qualify submissions close\""}""}]",0.00129975,74eb249bbf
"Can I join the course even after it has already started, and what happens with certification?","Yes, you can still join the course even after it has started.

For certification, the key requirement is that you submit the project while submissions are still being accepted. If you join late, you can still participate, but to receive a certificate you need to complete and submit the capstone project before the submission window closes.

Homework is not mandatory for the certificate; the capstone project is the main requirement.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""join course after it has started certification\""}""}]",0.00111225,74eb249bbf
What’s the deadline for project submission if I want to earn the certificate?,"For the certificate, you need to submit your **capstone project while a live cohort is accepting submissions**, and then complete the **required peer reviews**.

The **exact project submission deadline** is listed on the **course management platform** next to the submission form, and it can differ by cohort:

- **Attempt 1 / Attempt 2 dates are cohort-specific**
- Check the running cohort page rather than a past cohort page

So the deadline isn’t a single fixed date I can give here — it’s on the platform for your current cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""deadline project submission certificate\""}""}]",0.00136875,74eb249bbf
I signed up for LLM Zoomcamp — when should I get the confirmation email?,"You don’t need to wait for a confirmation email — you’re accepted.

Also, registration is just to gauge interest before the start date. You can start learning and even submit homework while the form is open, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""LLM Zoomcamp confirmation email when should I get the confirmation email signed up\""}""}]",0.00116175,977bf7786c
"Do I actually need a confirmation after registering, or am I already in?","You don’t need a confirmation email to be “in.” According to the FAQ, once you’ve registered, you’re accepted, and registration is just to gauge interest. You can also start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""confirmation after registering already in registration confirmation required\""}""}]",0.00106125,977bf7786c
Can I start the course and submit homework before any email arrives?,"Yes — you can start the course right away and submit homework **even before any confirmation email arrives**.

According to the FAQ:

- **You don’t need the confirmation email**
- You’re already considered accepted
- You can start learning and **submit homework while the form is open**
- Registration is just for gauging interest, not for checking access

Just make sure the **homework submission form is open** on the course platform.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""start course submit homework before email arrives enrollment access email homework FAQ\""}""}]",0.00136275,977bf7786c
Is there some approved list of registered students for homework checks?,"No — there isn’t an approved list used to check homework submissions.

According to the course FAQ, you **can start learning and submitting homework while the form is open without registering**, and **it is not checked against any registered list**. Registration is mainly just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""approved list registered students homework checks\""}""}]",0.0010965,977bf7786c
What was the point of registration if it doesn't affect access?,"The point of registration was just to gauge interest before the start date. It doesn’t control access, and it’s not checked against any registered list.

So if you’re asking whether registration was required to join or submit homework: no — you can start learning and submitting while the form is open even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""registration affect access point of registration doesn't affect access\""}""}]",0.0012630,977bf7786c
"How do I watch the Office Hours or live workshop if I’m a student, since I don’t have the Zoom link?","If you’re a student, the Zoom link is **not shared publicly**. Instead:

- **Watch live on YouTube Live** via the DataTalksClub YouTube channel.
- **Check the announcements channel on Telegram and Slack** for the video URL before it starts.
- **Ask questions in Slido** during the session — the Slido link is pinned in chat when it goes live.

Also, **don’t post questions in the live chat**, since they can be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""student office hours live workshop Zoom link how to watch FAQ\""}""}]",0.0013680,489dd1c9d9
Where are the live session video links usually posted before the stream starts?,The live session video link is usually posted in the **announcements channel on Telegram and Slack** before it starts. You can also watch it live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""live session video links posted before stream starts where usually posted\""}""}]",0.00109875,489dd1c9d9
