question,document
"I just found this course — is it too late to join, or can I still start now?",74eb249bbf
"If I sign up late, will I still be able to get a certificate somehow?",74eb249bbf
Do I need to submit my project before submissions close in order to qualify for the certificate?,74eb249bbf
"Can I join the course even after it has already started, and what happens with certification?",74eb249bbf
What’s the deadline for project submission if I want to earn the certificate?,74eb249bbf
I signed up for LLM Zoomcamp — when should I get the confirmation email?,977bf7786c
"Do I actually need a confirmation after registering, or am I already in?",977bf7786c
Can I start the course and submit homework before any email arrives?,977bf7786c
Is there some approved list of registered students for homework checks?,977bf7786c
What was the point of registration if it doesn't affect access?,977bf7786c
"How do I watch the Office Hours or live workshop if I’m a student, since I don’t have the Zoom link?",489dd1c9d9
Where are the live session video links usually posted before the stream starts?,489dd1c9d9
"Can students join the Office Hours through YouTube Live instead of Zoom, and where do we ask questions?",489dd1c9d9
"Is the Zoom URL for workshops shared with everyone, or only with the teaching team?",489dd1c9d9
What’s the best way to submit questions during a live session so they don’t get missed?,489dd1c9d9
"Where should I begin if I’m just starting the LLM Zoomcamp, and what’s the usual weekly routine to keep up with it?",04919992b3
"Do I need to wait for a specific start date, or can I jump into the course anytime and just follow the materials?",04919992b3
"What order should I use for each week — videos, notebooks, homework, and then submission — so I don’t miss anything?",04919992b3
"Where can I find the main docs, GitHub repo, and the place where deadlines are shown for the course?",04919992b3
"Is the homework basically the same as the lesson work, or does it change things up with a new dataset or task?",04919992b3
How do I find my own entry on the leaderboard if I can't spot my name there?,c2903069a0
"Why does the leaderboard show me a random name like ""Lucid Elbakyan"" instead of my real one?",c2903069a0
Where can I check what my display name is in the course system?,c2903069a0
Can I change the nickname that appears on the leaderboard to my Slack or GitHub name?,c2903069a0
What should I put in the profile field so my certificate uses my real legal name instead of the default name?,c2903069a0
Can I study the course on my own pace and still earn the certificate?,69d122f12e
"If I finish all the lessons by myself, do I get the certificate without joining a live cohort?",69d122f12e
What do I need to complete in order to receive the course certificate?,69d122f12e
"Is homework required for the certificate, or is the capstone project enough?",69d122f12e
Can I prepare the project in self-paced mode and submit it later when a live cohort opens?,69d122f12e
Do I still have a shot at the certificate if I skipped the first homework?,9f689c185f
"Is homework actually required for getting the course certificate, or is the Capstone enough?",9f689c185f
"If homework isn't mandatory, what do the homework points affect in the course?",9f689c185f
"Should I bother doing the homework if it's optional, or is it mainly for practice?",9f689c185f
What do I need to pass in order to receive the certificate for this course?,9f689c185f
Why does the homework keep changing before it's released?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is really ready?,96286b4be4
Is it safe to start working on homework early if it still says [DRAFT]?,96286b4be4
Can the homework content change even after I see it on the course platform?,96286b4be4
When is the next run of the course planned for?,bd31146b0e
Do you know when the course will be offered again after this session?,bd31146b0e
Is there a date for the next course offering yet?,bd31146b0e
When should I expect the next course to start?,bd31146b0e
Will the course be available again in Summer 2027?,bd31146b0e
Where can I find the lecture videos for this course?,31456f4b5f
Is there a main place to start from for all the lesson materials and videos?,31456f4b5f
"Do I need to use YouTube, or is there a better source for the videos?",31456f4b5f
How do I get to the videos for each lesson in the repo?,31456f4b5f
What’s the most up-to-date place to check for the course lectures?,31456f4b5f
"Where do I check the LLM Zoomcamp syllabus, homework deadlines, and my progress in one place?",20c5a1347e
Is there a course platform for tracking the current LLM Zoomcamp cohort and assignments?,20c5a1347e
How can I follow the LLM Zoomcamp schedule and see what homework is due?,20c5a1347e
What site should I use to monitor my LLM Zoomcamp progress and course structure?,20c5a1347e
"Does LLM Zoomcamp have a management page for deadlines, homework, and cohort info?",20c5a1347e
