question,answer_llm,answer_orig,document
"I just found this course — is it too late to join, or can I still start now?","Yes — you can still start now. If you just discovered the course, you’re allowed to join and begin learning. If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I sign up late, will I still be able to get a certificate somehow?","No. You can only get a certificate if you finish the course with a live cohort. You can prepare in self-paced mode, but the capstone submission and required peer reviews must happen while a live cohort is accepting them.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit my project before submissions close in order to qualify for the certificate?,"Yes — to qualify for the certificate, you need to submit your project while submissions are still open. You also must complete the required peer reviews within the peer-review window.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can I join the course even after it has already started, and what happens with certification?","Yes, you can still join after the course has already started.

For certification, the key point is that you need to submit your project while the course is still accepting submissions. Homework is not mandatory for the certificate — only passing the Capstone project is.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for project submission if I want to earn the certificate?,"The capstone project deadline depends on the current cohort. You can find the submission dates on the course management platform next to the submission form.

If you mean the peer-review deadline for certificate eligibility, that also appears automatically on the platform after project submissions close.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for LLM Zoomcamp — when should I get the confirmation email?,"You don't need it. You're accepted. You can start learning and submitting homework while the form is open, and registration is only to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Do I actually need a confirmation after registering, or am I already in?","You don’t need a confirmation email. You’re already accepted, and you can start learning and submitting homework while the form is open. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I start the course and submit homework before any email arrives?,Yes. You don’t need to wait for any email. You can start the course and submit homework as long as the submission form is open.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there some approved list of registered students for homework checks?,I don't know.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What was the point of registration if it doesn't affect access?,"Registration doesn’t affect access. You’re accepted, and you can just start learning and submit homework while the form is open. Registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"How do I watch the Office Hours or live workshop if I’m a student, since I don’t have the Zoom link?","Students don’t get the Zoom link directly. Instead, you can:

- Watch the session live on the DataTalksClub YouTube Channel
- Check the Telegram and Slack announcements channel for the video URL before it starts
- Join via YouTube Live and submit questions through Slido, which is pinned in the chat when the session is live

Don’t post questions in the YouTube chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
